timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662660659824,284,My first DELETE request json,200,OK,Group of requests 1-8,text,true,,947,200,11,11,https://jsonplaceholder.typicode.com/posts/1,284,0,0
1662660659868,269,My first POST request,201,Created,Group of requests 1-7,text,true,,1151,325,12,12,https://jsonplaceholder.typicode.com/posts,268,0,0
1662660659878,264,My first PUT request json,200,OK,Group of requests 1-6,text,true,,961,267,12,12,https://jsonplaceholder.typicode.com/posts/1,264,0,0
1662660659917,264,My first PUT request,200,OK,Group of requests 1-5,text,true,,1033,275,12,12,https://jsonplaceholder.typicode.com/posts/1,264,0,0
1662660659956,270,My first DELETE request json,200,OK,Group of requests 1-3,text,true,,947,200,12,12,https://jsonplaceholder.typicode.com/posts/1,270,0,0
1662660659961,284,My first DELETE request,200,OK,Group of requests 1-4,text,true,,945,233,11,11,https://jsonplaceholder.typicode.com/posts/1?id=1,284,0,0
1662660660002,270,My first POST request,201,Created,Group of requests 1-13,text,true,,1161,325,11,11,https://jsonplaceholder.typicode.com/posts,270,0,0
1662660660131,141,My first GET request,200,OK,Group of requests 1-14,text,true,,28505,136,11,11,https://jsonplaceholder.typicode.com/posts,138,0,85
1662660660029,259,My first PUT request json,200,OK,Group of requests 1-12,text,true,,953,267,11,11,https://jsonplaceholder.typicode.com/posts/1,259,0,0
1662660660063,262,My first PUT request,200,OK,Group of requests 1-11,text,true,,1027,275,11,11,https://jsonplaceholder.typicode.com/posts/1,262,0,0
1662660660096,256,My first DELETE request json,200,OK,Group of requests 1-9,text,true,,949,200,11,11,https://jsonplaceholder.typicode.com/posts/1,256,0,0
1662660660103,262,My first DELETE request,200,OK,Group of requests 1-10,text,true,,943,233,11,11,https://jsonplaceholder.typicode.com/posts/1?id=1,262,0,0
1662660660109,281,My first POST request,201,Created,Group of requests 1-8,text,true,,1153,325,12,12,https://jsonplaceholder.typicode.com/posts,281,0,0
1662660660137,263,My first PUT request json,200,OK,Group of requests 1-7,text,true,,963,267,12,12,https://jsonplaceholder.typicode.com/posts/1,263,0,0
1662660660142,266,My first PUT request,200,OK,Group of requests 1-6,text,true,,1027,275,12,12,https://jsonplaceholder.typicode.com/posts/1,266,0,0
1662660660182,296,My first DELETE request,200,OK,Group of requests 1-5,text,true,,957,233,12,12,https://jsonplaceholder.typicode.com/posts/1?id=1,296,0,0
